vaccine,country,year,coverage,coverage_subnat,mid_day,a0,a1
SIA,IDN,2018,0.16795164,0.16795164,180,53,169
SIA,IND,2000,0.0058555,0.0058555,180,53,159
SIA,IND,2001,0.0075594,0.0075594,180,53,159
SIA,IND,2010,0.03666167,0.03666167,180,53,164
SIA,IND,2011,0.05997784,0.05997784,180,53,164
SIA,IND,2012,0.0986934,0.0986934,180,53,163
SIA,IND,2013,0.14802449,0.14802449,180,53,163
SIA,IND,2015,0.00058367,0.00058367,180,53,169
SIA,IND,2016,0.00058661,0.00058661,180,53,169
SIA,IND,2017,0.51396325,0.51396325,180,53,168
SIA,IND,2018,0.19493092,0.19493092,180,53,169
SIA,IND,2019,0.12814982,0.12814982,180,53,169
SIA,MDG,1998,0.03341683,0.03341683,180,53,159
SIA,MDG,2004,1,1,180,53,168
SIA,MDG,2007,0.96349256,0.96349256,180,53,159
SIA,MDG,2010,0.89617564,0.89617564,180,53,158
SIA,MDG,2013,0.94485253,0.94485253,180,53,159
SIA,MDG,2016,0.96126312,0.96126312,180,53,159
SIA,MDG,2018,0.04185136,0.04185136,180,53,159
SIA,MDG,2019,0.33771883,0.33771883,180,1,1
SIA,MDG,2019,0.4932215,0.4932215,180,53,163
SIA,MDG,2022,0.39662051,0.39662051,180,53,159
SIA,MWI,1998,0.99,0.99,180,163,168
SIA,MWI,1999,0.04088414,0.04088414,180,53,159
SIA,MWI,2002,0.93037319,0.93037319,180,53,159
SIA,MWI,2005,0.96818666,0.96818666,180,53,159
SIA,MWI,2008,0.86646183,0.86646183,180,53,159
SIA,MWI,2010,1,1,180,53,169
SIA,MWI,2013,0.88797364,0.88797364,180,53,159
SIA,MWI,2015,0.08047111,0.08047111,180,53,159
SIA,MWI,2017,1,1,180,53,168
SIA,NGA,2005,0.4888033,0.4888033,180,53,169
SIA,NGA,2006,0.43845389,0.43845389,180,53,169
SIA,NGA,2007,0.09333996,0.09333996,180,53,159
SIA,NGA,2007,0.01196402,0.01196402,180,160,171
SIA,NGA,2008,1,1,180,53,159
SIA,NGA,2011,1,1,180,53,159
SIA,NGA,2013,0.36780266,0.36780266,180,53,159
SIA,NGA,2015,0.43041743,0.43041743,180,53,164
SIA,NGA,2016,0.61869661,0.61869661,180,53,159
SIA,NGA,2017,0.78002809,0.78002809,180,53,158
SIA,NGA,2018,1,1,180,53,159
SIA,NGA,2019,0.32985459,0.32985459,180,53,159
SIA,NGA,2020,0.03275567,0.03275567,180,53,159
SIA,NGA,2021,0.2417493,0.2417493,180,53,159
SIA,PAK,2005,0.05486457,0.05486457,180,53,159
SIA,PAK,2006,0.01209625,0.01209625,180,53,159
SIA,PAK,2007,0.13626461,0.13626461,180,53,167
SIA,PAK,2007,0.03882612,0.03882612,180,168,169
SIA,PAK,2008,0.61553851,0.61553851,180,53,167
SIA,PAK,2010,0.19751757,0.19751757,180,53,159
SIA,PAK,2010,0.25330284,0.25330284,180,160,166
SIA,PAK,2011,0.0667234,0.0667234,180,53,159
SIA,PAK,2012,0.04610336,0.04610336,180,53,163
SIA,PAK,2013,0.36098696,0.36098696,180,53,163
SIA,PAK,2014,0.19088017,0.19088017,180,53,163
SIA,PAK,2015,0.12497639,0.12497639,180,53,164
SIA,PAK,2017,0.02201292,0.02201292,180,53,159
SIA,PAK,2018,1,1,180,53,159
SIA,PAK,2021,0.56391393,0.56391393,180,53,169
SIA,PHL,1998,0.46423114,0.46423114,180,53,169
SIA,PHL,2002,0.04595166,0.04595166,180,53,159
SIA,PHL,2004,1,1,180,53,161
SIA,PHL,2007,0.91194765,0.91194765,180,53,158
SIA,PHL,2009,0.20858286,0.20858286,180,105,104
SIA,PHL,2010,0.01850021,0.01850021,180,53,159
SIA,PHL,2011,0.90054096,0.90054096,180,53,162
SIA,PHL,2013,0.07373271,0.07373271,180,1,159
SIA,PHL,2014,0.58324314,0.58324314,180,53,157
SIA,PHL,2014,0.91954737,0.91954737,180,158,159
SIA,PHL,2018,0.17800472,0.17800472,180,1,159
SIA,PHL,2019,0.1394861,0.1394861,180,1,158
SIA,PHL,2019,0.20663634,0.20663634,180,159,159
SIA,PHL,2019,0.06715024,0.06715024,180,160,165
SIA,PHL,2019,0.0729525,0.0729525,180,166,166
SIA,PHL,2019,0.00580226,0.00580226,180,167,249
SIA,PHL,2020,0.1729221,0.1729221,180,53,159
SIA,PHL,2021,0.00216305,0.00216305,180,1,1
SIA,PHL,2021,0.19304437,0.19304437,180,53,52
SIA,PHL,2021,0.19088132,0.19088132,180,105,159
SIA,SOM,2005,0.06645356,0.06645356,180,53,169
SIA,SOM,2006,0.40619445,0.40619445,180,53,169
SIA,SOM,2007,0.54013307,0.54013307,180,53,169
SIA,SOM,2008,0.02651809,0.02651809,180,53,169
SIA,SOM,2009,0.31629705,0.31629705,180,53,159
SIA,SOM,2010,0.52229975,0.52229975,180,53,159
SIA,SOM,2011,0.09425932,0.09425932,180,53,159
SIA,SOM,2011,0.08955837,0.08955837,180,160,168
SIA,SOM,2011,0.04646685,0.04646685,180,169,169
SIA,SOM,2012,0.37387283,0.37387283,180,1,1
SIA,SOM,2012,0.32568335,0.32568335,180,53,158
SIA,SOM,2012,0.3015886,0.3015886,180,159,159
SIA,SOM,2013,0.38421889,0.38421889,180,1,158
SIA,SOM,2014,0.52680623,0.52680623,180,53,159
SIA,SOM,2015,0.85714608,0.85714608,180,53,163
SIA,SOM,2016,0.2685189,0.2685189,180,53,159
SIA,SOM,2016,0.13746555,0.13746555,180,160,163
SIA,SOM,2017,0.73792988,0.73792988,180,1,1
SIA,SOM,2017,0.75105299,0.75105299,180,53,159
SIA,SOM,2018,0.39047524,0.39047524,180,1,164
